Tissue	FPKM.m	SD.m	Enrichment.m	FPKM.f	SD.f	Enrichment.f	M.F	p.value	FPKM.mf	SD.mf	Enrichment.mf
index.html?fbgn=FBgn0010052&tableOut=gene:25:Carcass	2.36	0.26	0.89	2.22	1.13	1.11	1.06	n.s.	0.24	0.07	0.08
index.html?fbgn=FBgn0010053&tableOut=gene:25:Carcass	73.49	6.53	1.29	34.12	4.51	2.58	2.2	p > 0.01	6.23	2.04	0.26
index.html?fbgn=FBgn0010078&tableOut=gene:25:Carcass	748.4	137.7	0.76	1239.99	244.35	0.84	0.6	n.s.	865.88	41.13	1.02
index.html?fbgn=FBgn0010097&tableOut=gene:25:Carcass	0.01	0.02	-1	3.31	3.21	0.14	0.6	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0010100&tableOut=gene:25:Carcass	602.22	17.67	2.07	417.32	75.78	4.16	1.44	p > 0.05	190.15	31.09	2.79
index.html?fbgn=FBgn0010105&tableOut=gene:25:Carcass	3.77	0.71	0.95	1.5	0.21	-1	1.89	p > 0.05	1.85	0.49	-1
index.html?fbgn=FBgn0010109&tableOut=gene:25:Carcass	0.04	0.03	-1	0.01	0.01	-1	1	n.s.	0.48	0.12	-1
index.html?fbgn=FBgn0010113&tableOut=gene:25:Carcass	1.45	0.21	0.29	1.62	0.25	0.24	1	n.s.	4.64	0.1	2.17
index.html?fbgn=FBgn0010114&tableOut=gene:25:Carcass	3.17	1.45	0.4	2.39	1.04	1.2	1.33	n.s.	0.28	0.04	-1
index.html?fbgn=FBgn0010173&tableOut=gene:25:Carcass	16.16	0.43	1.47	18.43	3.11	0.73	0.88	n.s.	17.73	0.68	1.16
index.html?fbgn=FBgn0010194&tableOut=gene:25:Carcass	0.31	0.1	-1	0.46	0.15	-1	1	n.s.	1.61	0.18	-1
index.html?fbgn=FBgn0010197&tableOut=gene:25:Carcass	0.08	0.02	-1	0.08	0.06	-1	1	n.s.	0.06	0.02	-1
index.html?fbgn=FBgn0010198&tableOut=gene:25:Carcass	583.93	102.44	1.51	961.45	114.43	1.39	0.61	p > 0.05	919.82	33.4	1.24
index.html?fbgn=FBgn0010213&tableOut=gene:25:Carcass	125.93	25.38	1.81	95.33	13.39	2.31	1.32	n.s.	49.18	5.13	1.49
index.html?fbgn=FBgn0010215&tableOut=gene:25:Carcass	22.99	0.58	1.36	20.27	1.44	1.04	1.13	n.s.	43.07	1.98	1.19
index.html?fbgn=FBgn0010217&tableOut=gene:25:Carcass	2262.53	162.43	3.07	1586.41	159.96	3.96	1.43	p > 0.01	1728.66	279.05	2.93
index.html?fbgn=FBgn0010220&tableOut=gene:25:Carcass	4.71	0.68	1.46	6.46	0.62	1.19	0.73	p > 0.05	3.88	0.24	1.05
index.html?fbgn=FBgn0010222&tableOut=gene:25:Carcass	22.51	10.05	2.17	21.88	5.99	3.06	1.03	n.s.	8.18	3.92	0.51
index.html?fbgn=FBgn0010223&tableOut=gene:25:Carcass	1.69	0.69	0.45	2.29	0.54	0.99	0.87	n.s.	0.66	0.22	0.14
index.html?fbgn=FBgn0010225&tableOut=gene:25:Carcass	191.01	10.02	2.24	169.76	43.57	6.66	1.13	n.s.	37.43	5.18	0.25
index.html?fbgn=FBgn0010226&tableOut=gene:25:Carcass	51.97	5.64	0.44	55.2	27.91	1.5	0.94	n.s.	22.64	1.05	0.38
