Accession,FBgn
A0A023GQA5,FBgn0002031
A0A0B4JCU8,FBgn0034390
A0A0B4JD46,FBgn0034802
A0A0B4JD97,FBgn0026620
A0A0B4K5Z8,FBgn0262125
A0A0B4K618,FBgn0028734
A0A0B4K623,FBgn0020385
A0A0B4K6D2,FBgn0037728
A0A0B4K6E2,FBgn0013995
A0A0B4K6F9,FBgn0266758
A0A0B4K6I6,FBgn0051075
A0A0B4K6K7,FBgn0037467
A0A0B4K6N1,FBgn0039713
A0A0B4K6N4,FBgn0082582
A0A0B4K6Y7,FBgn0262614
A0A0B4K7A5,FBgn0263391
A0A0B4K7G1,FBgn0034345
A0A0B4K7H1,FBgn0010482
A0A0B4K7J2,FBgn0039302
A0A0B4K7L1,FBgn0003071
A0A0B4K7N3,FBgn0050488
A0A0B4K7Q4,FBgn0287873
A0A0B4K7X5,FBgn0265191
A0A0B4K7Z5,FBgn0028689
A0A0B4K883,FBgn0035047
A0A0B4K897,FBgn0034345
A0A0B4KER0,FBgn0033998
A0A0B4KEU5,FBgn0265935
A0A0B4KF06,FBgn0027079
A0A0B4KF69,FBgn0286813
A0A0B4KFA6,FBgn0037533
A0A0B4KFC5,FBgn0020279
A0A0B4KFD6,FBgn0015872
A0A0B4KFE4,FBgn0263120
A0A0B4KFE9,FBgn0013756
A0A0B4KFZ1,FBgn0034885
A0A0B4KFZ4,FBgn0020372
A0A0B4KG50,FBgn0266717
A0A0B4KGG5,FBgn0267975
A0A0B4KGR4,FBgn0039129
A0A0B4KGU4,FBgn0263231
A0A0B4KGY6,FBgn0261552
A0A0B4KH14,FBgn0039427
A0A0B4KH25,FBgn0001197
A0A0B4KH28,FBgn0053094
A0A0B4KH34,FBgn0000083
A0A0B4KH36,FBgn0266717
A0A0B4KHF0,FBgn0015221
A0A0B4KHH8,FBgn0038826
A0A0B4KHI4,FBgn0038826
A0A0B4KHJ5,FBgn0266064
A0A0B4KHJ9,FBgn0004117
A0A0B4KHL2,FBgn0028968
A0A0B4KHL7,FBgn0019960
A0A0B4KHW3,FBgn0028646
A0A0B4KHX5,FBgn0267435
