Accession,FBgn
Q59DV8,FBgn0262869
Q9V3X2,FBgn0027865
Q9VME3,FBgn0031808
Q9W2L6,FBgn0034588
Q8INQ6,FBgn0261929
E1JHE8,FBgn0261871
A8DZ06,FBgn0028863
Q9VLP2,FBgn0032021
Q7K188,FBgn0033872
Q9VU13,FBgn0261674
Q9W0C1,FBgn0013342
Q7JRL9,FBgn0051221
Q9VPA1,FBgn0052432
Q7KTJ7,FBgn0261822
D8FT33,FBgn0033631
B7Z0L0,FBgn0285925
Q9VBC9,FBgn0250908
Q9W257,FBgn0034725
Q24114,FBgn0263930
Q9NB97,FBgn0034136
Q7K0H4,FBgn0261041
E1JHT0,FBgn0010473
Q7JUQ5,FBgn0031159
P17644,FBgn0000039
P28285,FBgn0004168
Q8MRE6,FBgn0053202
Q8IH40,FBgn0262869
Q9VPT9,FBgn0031285
Q9U4G1,FBgn0028482
Q9VJI5,FBgn0032601
P20241,FBgn0264975
P10379,FBgn0004055
Q7KUL1,FBgn0041604
Q9VR83,FBgn0031100
P34082,FBgn0000635
Q9VHQ8,FBgn0266801
B7Z0Y2,FBgn0259110
A8JRD7,FBgn0285963
Q8IQD3,FBgn0044328
Q9VY33,FBgn0052600
Q9VN12,FBgn0037238
E1JIJ8,FBgn0000024
Q86P20,FBgn0085399
Q9V9Y0,FBgn0039844
A1Z6S0,FBgn0053558
Q7KJ08,FBgn0040505
Q9Y133,FBgn0027575
Q9W1J0,FBgn0034911
Q9VEY5,FBgn0038400
A8JNU1,FBgn0263131
P11584,FBgn0004657
Q9VE32,FBgn0038653
Q9VMD5,FBgn0031815
Q0E8N3,FBgn0051619
A2RVG6,FBgn0259175
Q9VFS1,FBgn0038172
Q9W3P7,FBgn0029962
D5AEK7,FBgn0036623
Q0KI25,FBgn0039064
O46082,FBgn0023519
Q9VHW1,FBgn0037546
Q24547,FBgn0013343
P48613,FBgn0003710
P51905,FBgn0010414
Q3KN41,FBgn0038975
A8JNC7,FBgn0085420
Q8MQN7,FBgn0036551
Q9W259,FBgn0034723
Q9VQN9,FBgn0031520
Q9VDB7,FBgn0038881
A1A714,FBgn0035236
Q24488,FBgn0010407
Q9I7F7,FBgn0263998
Q03445,FBgn0004619
P23380,FBgn0262736
O15943,FBgn0015609
Q9VHX9,FBgn0037533
Q9W3N2,FBgn0029974
Q9VBR3,FBgn0039332
Q59E14,FBgn0053543
A1ZBH3,FBgn0034419
Q7K127,FBgn0034117
Q9W436,FBgn0029843
Q8MSU3,FBgn0034067
Q9VXM0,FBgn0030706
Q9VXV8,FBgn0263257
Q32KD2,FBgn0086908
Q8IM93,FBgn0052017
Q9W167,FBgn0035010
Q9VCG8,FBgn0085384
A1Z782,FBgn0033244
Q9VG19,FBgn0038092
O77134,FBgn0038224
Q9VWI6,FBgn0031016
D0Z756,FBgn0033250
Q9VR25,FBgn0031627
Q9VW75,FBgn0036934
Q961R9,FBgn0038407
Q9VP08,FBgn0037107
Q9W4A6,FBgn0259994
Q09101,FBgn0010114
Q9VVY7,FBgn0052206
Q9VE46,FBgn0038641
P91685,FBgn0019985
Q9VU17,FBgn0036316
Q95T12,FBgn0261722
Q0KI81,FBgn0259227
Q9VIU4,FBgn0053116
A8JRD0,FBgn0066101
B7YZT0,FBgn0050361
Q7K3Z2,FBgn0033132
H1UUM0,FBgn0259821
Q9V491,FBgn0025741
O76928,FBgn0000330
Q9Y166,FBgn0027610
Q9VMV6,FBgn0031670
Q9VH26,FBgn0037788
A1Z7G7,FBgn0033313
Q9VSF0,FBgn0035850
Q9VGS3,FBgn0037873
Q9VJD1,FBgn0032643
Q7KSE9,FBgn0261046
Q95RA9,FBgn0038149
Q9VTZ5,FBgn0036299
Q9VN86,FBgn0037298
Q8MQS2,FBgn0039647
G4LU59,FBgn0000037
Q6NR63,FBgn0039277
Q24591,FBgn0287775
Q9W4Y3,FBgn0284408
Q9VJ59,FBgn0032704
Q59E18,FBgn0051660
Q9GYU8,FBgn0026207
Q9VZ38,FBgn0030260
Q9VF45,FBgn0038354
Q8IR04,FBgn0266354
Q8MLQ7,FBgn0034909
B7Z153,FBgn0259245
Q9VJ94,FBgn0261804
Q7K326,FBgn0037676
Q9VL16,FBgn0032200
Q9W1F5,FBgn0034938
Q9VE20,FBgn0261262
Q9VLQ1,FBgn0261020
Q9VAJ0,FBgn0039681
O46100,FBgn0024365
Q9VHV5,FBgn0037551
Q8MS10,FBgn0029837
Q9V3W2,FBgn0001989
Q9VK03,FBgn0264308
Q9NHD7,FBgn0040285
Q0E8Q7,FBgn0028539
Q9VH85,FBgn0037736
Q9VGP3,FBgn0037895
Q9W423,FBgn0040918
Q9VT04,FBgn0036007
Q8SWR3,FBgn0029768
Q7JW07,FBgn0033547
Q9VNX2,FBgn0037140
Q8MRD1,FBgn0033368
Q7JUS1,FBgn0050491
Q9VLT3,FBgn0267488
Q9VYR9,FBgn0030358
Q94900,FBgn0024963
Q9VW60,FBgn0004852
Q7KUX2,FBgn0030796
D0UGE6,FBgn0039257
Q9UAI4,FBgn0020372
Q9W345,FBgn0085478
Q9VH19,FBgn0086359
Q60GL7,FBgn0034521
P22270,FBgn0004514
Q9VMD2,FBgn0031818
Q9VSM5,FBgn0035914
Q8SWS1,FBgn0031081
A8WHF3,FBgn0260446
P23654,FBgn0004108
Q0KHS8,FBgn0000535
Q9W1E8,FBgn0003008
P16620,FBgn0014007
Q9VU02,FBgn0261933
A8JV18,FBgn0061200
P83097,FBgn0046685
Q9VCA0,FBgn0039178
Q7JPB9,FBgn0003353
Q9VN13,FBgn0037239
Q9VCA2,FBgn0019952
Q59E37,FBgn0052547
P81928,FBgn0010340
Q9VAR0,FBgn0039623
Q9VQZ3,FBgn0031602
Q9Y123,FBgn0027564
O17444,FBgn0270928
Q9W0Y8,FBgn0085434
A8JUY8,FBgn0264386
Q9W201,FBgn0259145
Q9VED0,FBgn0038569
Q8IPI3,FBgn0259111
P91643,FBgn0015399
Q9VPJ9,FBgn0025683
Q24322,FBgn0011259
Q9VG69,FBgn0038049
Q6AWM0,FBgn0005775
Q9V3L7,FBgn0027785
Q9VBK2,FBgn0250757
Q9VQ52,FBgn0051663
Q8SY69,FBgn0069923
