Accession,FBgn
Q9W1G7,FBgn0015268
Q9VLB4,FBgn0032122
Q9V559,FBgn0033397
Q9W3C4,FBgn0041629
Q9W1Q4,FBgn0034860
X2JEX8,FBgn0004047
Q9VM97,FBgn0031850
D5AEJ9,FBgn0003435
P13469,FBgn0002780
O62621,FBgn0025724
M9PBV1,FBgn0001208
P26675,FBgn0001965
Q9VNV3,FBgn0015075
Q9VI97,FBgn0051496
Q60GL7,FBgn0034521
A0A0B4LG35,FBgn0265834
Q9VSH7,FBgn0035875
Q9VM69,FBgn0026196
Q8IN51,FBgn0051205
Q95RB2,FBgn0033728
P25843,FBgn0000308
Q9VLM9,FBgn0032032
Q7JVH6,FBgn0033101
Q9W2J6,FBgn0265191
Q8T0T9,FBgn0025712
P40304,FBgn0002284
B4ZJ93,FBgn0259958
Q9VI34,FBgn0037456
Q8SZM2,FBgn0032538
Q9VLX9,FBgn0031942
O18388,FBgn0262743
Q9VWV6,FBgn0022355
Q7JWD3,FBgn0033191
Q8IPU0,FBgn0037057
Q9VVQ9,FBgn0052199
Q9W2N0,FBgn0034577
Q7K127,FBgn0034117
Q9V3Y7,FBgn0028526
A1Z877,FBgn0026403
Q9V3Z9,FBgn0028544
Q9VCR2,FBgn0039049
Q9VL50,FBgn0011584
A1ZBJ8,FBgn0034435
B7Z103,FBgn0259223
A0A0B4LFA6,FBgn0033886
Q9VRU2,FBgn0061492
P02574,FBgn0000045
M9MS37,FBgn0259243
Q9V7U0,FBgn0034157
Q9VLY1,FBgn0031940
Q9VVQ7,FBgn0036796
Q7K0E6,FBgn0002069
Q9V4C7,FBgn0259214
X2JEM4,FBgn0030136
Q4V6H2,FBgn0034415
Q9I7J0,FBgn0038774
A0A4D6K293,FBgn0000711
Q9VAT8,FBgn0039597
P27619,FBgn0003392
Q9VGW1,FBgn0261053
Q9VIS3,FBgn0032820
Q9V9U0,FBgn0003065
Q9VWG1,FBgn0031037
P08171,FBgn0000592
Q26416,FBgn0014454
A1Z713,FBgn0033194
Q9VB29,FBgn0039521
Q9VZI3,FBgn0035498
A0A0B4KGX9,FBgn0038073
Q9VX17,FBgn0030870
Q9VGS2,FBgn0037874
Q9W077,FBgn0035281
Q9VBT8,FBgn0039310
A8E702,FBgn0031660
Q9V5C6,FBgn0023175
Q9VHC3,FBgn0000244
Q7KT29,FBgn0032827
Q8SXQ1,FBgn0036857
X2JCG8,FBgn0028491
Q1RKY9,FBgn0039897
Q9VF51,FBgn0038349
A1ZAZ6,FBgn0034278
A0A0B4K6K5,FBgn0263024
Q8IQ63,FBgn0015766
Q9W243,FBgn0034736
A1ZBE9,FBgn0034401
Q7JZ37,FBgn0033471
A0A0B4LGZ1,FBgn0004003
Q9VYV3,FBgn0030329
A0A0B4LGH1,FBgn0003888
Q9VCA1,FBgn0286199
Q9VPR0,FBgn0260933
M9PD18,FBgn0265262
M9PF46,FBgn0036030
C4NAP3,FBgn0261058
P45437,FBgn0008635
Q8SX68,FBgn0034308
Q9VCH1,FBgn0260634
Q9VBK1,FBgn0250757
Q9VKQ8,FBgn0032294
Q9VXT0,FBgn0030660
M9PHT9,FBgn0262508
A0A0B4LET7,FBgn0025469
Q9VIB5,FBgn0015575
Q9VVQ5,FBgn0265268
Q9VUW1,FBgn0036550
C4NAN9,FBgn0261054
Q8I0D4,FBgn0038181
Q9W201,FBgn0259145
Q9VXF6,FBgn0264077
Q9VL18,FBgn0032198
A0A0B4K6N4,FBgn0082582
Q9VXM4,FBgn0030703
Q9VM18,FBgn0031908
Q9VVU1,FBgn0036824
Q9VP22,FBgn0037093
Q7KQP6,FBgn0005666
