Symbol,CG,FBgn,category
Acp26Aa,CG8982,FBgn0002855,highconf
Acp26Ab,CG9024,FBgn0002856,highconf
Acp95EF,CG17924,FBgn0002863,highconf
SP,CG17673,FBgn0003034,highconf
Acp36DE,CG7157,FBgn0011559,highconf
Acp29AB,CG17797,FBgn0015583,highconf
Acp53Ea,CG8622,FBgn0015584,highconf
Acp63F,CG10852,FBgn0015585,highconf
Acp76A,CG3801,FBgn0015586,highconf
Acp62F,CG1262,FBgn0020509,highconf
Acp53C14a,CG8626,FBgn0034152,highconf
Acp53C14b,CG15616,FBgn0034153,highconf
Acp24A4,CG31779,FBgn0051779,highconf
Acp53C14c,CG33530,FBgn0053530,highconf
alphaTub84D,CG2512,FBgn0003885,highconf
Anp,CG1361,FBgn0000094,highconf
Ccp84Ad,CG2341,FBgn0004780,highconf
CG10041,CG10041,FBgn0038014,highconf
CG42564,CG42564,FBgn0260766,highconf
CG10433,CG10433,FBgn0034638,highconf
Sems,CG10586,FBgn0037036,highconf
CG10587,CG10587,FBgn0037039,highconf
CG10651,CG10651,FBgn0032853,highconf
CG10730,CG10730,FBgn0032843,highconf
CG10862,CG10862,FBgn0035455,highconf
CG11037,CG11037,FBgn0037038,highconf
CG11598,CG11598,FBgn0038067,highconf
CG11608,CG11608,FBgn0038069,highconf
CG11630,CG11630,FBgn0032964,highconf
Semp1,CG11864,FBgn0028944,highconf
CG43319,CG43319,FBgn0263024,highconf
polyph,CG12943,FBgn0033572,highconf
CG13965,CG13965,FBgn0032834,highconf
CG14034,CG14034,FBgn0250847,highconf
aqrs,CG14061,FBgn0039598,highconf
PPYR1,CG15031,FBgn0030623,highconf
CG15116,CG15116,FBgn0034415,highconf
CG15117,CG15117,FBgn0034417,highconf
CG15635,CG15635,FBgn0031617,highconf
CG15641,CG15641,FBgn0030643,highconf
CG1701,CG1701,FBgn0033167,highconf
CG43691,CG43691,FBgn0263774,highconf
CG17097,CG17097,FBgn0265264,highconf
CG17242,CG17242,FBgn0250841,highconf
CG17472,CG17472,FBgn0032868,highconf
CG17575,CG17575,FBgn0250842,highconf
