#SUBMITTED ID	ANNOTATION_SYMBOL	LOCATION_ARM	NAME	SYMBOL
FBgn0026396	CG15377	2L	Odorant receptor 22c	Or22c
FBgn0034468	CG11797	2R	Odorant-binding protein 56a	Obp56a
FBgn0005558	CG1464	4	eyeless	ey
FBgn0086134	CG5266	3R	Proteasome alpha2 subunit	Prosalpha2
FBgn0005624	CG3886	2R	Posterior sex combs	Psc
FBgn0035113	CG17142	3L	pyrexia	pyx
FBgn0003187	CG6433	2L	quail	qua
FBgn0260985	CG14999	3L	Replication factor C subunit 4	RfC4
FBgn0013325	CG7726	2R	Ribosomal protein L11	RpL11
FBgn0083983	CG34147	2R	mitochondrial ribosomal protein L34	mRpL34
FBgn0263757	CG43662	3R	RNA polymerase II subunit D	Polr2D
FBgn0020391	CG4007	2R	Neurospecific receptor kinase	Nrk
FBgn0015521	CG2986	2L	Ribosomal protein S21	RpS21
FBgn0026388	CG33478	2R	Odorant receptor 46a	Or46a
FBgn0005648	CG2163	2R	Pabp2	Pabp2
FBgn0023178	CG6496	3R	Pigment-dispersing factor	Pdf
FBgn0003042	CG32443	3L	Polycomb	Pc
FBgn0264953	CG44122	2L	Piezo	Piezo
FBgn0262114	CG42236	2R	Ran-binding protein M	RanBPM
FBgn0010333	CG2248	3L	Rac1	Rac1
FBgn0265959	CG44746	3L	retinal degeneration C	rdgC
FBgn0034822	CG9873	2R	Ribosomal protein L37b	RpL37b
FBgn0002579	CG7622	X	Ribosomal protein L36	RpL36
FBgn0038319	CG31478	3R	mitochondrial ribosomal protein L9	mRpL9
FBgn0035851	CG7999	3L	Mediator complex subunit 24	MED24
FBgn0035247	CG13929	3L	Methyltransferase like 2	Mettl2
FBgn0004173	CG17934	3R	Male-specific RNA 84Db	Mst84Db
FBgn0035421	CG12034	3L	neutral sphingomyelinase	nSMase
FBgn0011294	CG5430	2L	antennal protein 5	a5
FBgn0264307	CG43782	3L	orb2	orb2
FBgn0033672	CG8972	2R	rhomboid-7	rho-7
FBgn0033816	CG4679	2R	-	CG4679
FBgn0010409	CG6510	2R	Ribosomal protein L18A	RpL18A
FBgn0034046	CG8253	2R	tungus	tun
FBgn0036918	CG7770	3L	Prefoldin 6	Pfdn6
FBgn0259676	CG5553	3L	DNA primase subunit 2	Prim2
FBgn0032189	CG18145	2L	RPA-interacting protein alpha	Ripalpha
FBgn0038627	CG7694	3R	-	CG7694
FBgn0037591	CG17911	3R	Odorant receptor 85c	Or85c
FBgn0000541	CG32346	3L	Enhancer of bithorax	E(bx)
FBgn0003249	CG10888	3R	Rhodopsin 3	Rh3
FBgn0034766	CG13517	2R	Odorant-binding protein 59a	Obp59a
FBgn0032813	CG10262	2L	Proliferating cell nuclear antigen 2	PCNA2
FBgn0040077	CG33748	3R	primo-1	primo-1
FBgn0003137	CG33103	3R	Papilin	Ppn
FBgn0038976	CG7048	3R	Prefoldin 5	Pfdn5
FBgn0015282	CG5289	3R	Regulatory particle triple-A ATPase 2	Rpt2
FBgn0053180	CG33180	X	Ranbp16	Ranbp16
FBgn0010173	CG9633	3R	Replication Protein A 70	RpA-70
FBgn0050085	CG30085	2R	Rap1 interacting factor 1	Rif1
FBgn0037345	CG2948	3R	DNA polymerase zeta subunit 2	PolZ2
FBgn0026388	CG33478	2R	Odorant receptor 46a	Or46a
FBgn0004595	CG17228	3R	prospero	pros
FBgn0260499	CG33472	2R	quiver	qvr
FBgn0020910	CG4863	3R	Ribosomal protein L3	RpL3
FBgn0036462	CG17166	3L	mitochondrial ribosomal protein L39	mRpL39
FBgn0286213	CG11271	3L	Ribosomal protein S12	RpS12
FBgn0037594	CG11742	3R	Odorant receptor 85d	Or85d
FBgn0039033	CG17241	3R	Odorant receptor 94a	Or94a
FBgn0037399	CG15581	3R	Odorant receptor 83c	Or83c
FBgn0024315	CG8098	2R	Picot	Picot
FBgn0066304	CG33931	X	Rpp20	Rpp20
FBgn0017556	CG4569	2R	Proteasome alpha4 subunit, Testis-specific 2	Prosalpha4T2
FBgn0004237	CG12749	3R	Heterogeneous nuclear ribonucleoprotein at 87F	Hrb87F
FBgn0037899	CG6764	3R	Ribosomal protein L24-like	RpL24-like
FBgn0033208	CG1577	2R	mitochondrial ribosomal protein L52	mRpL52
FBgn0011282	CG1176	3R	Odorant-binding protein 84a	Obp84a
FBgn0003321	CG1664	X	small bristles	sbr
FBgn0034475	CG13874	2R	Odorant-binding protein 56h	Obp56h
FBgn0011279	CG10436	3L	Odorant-binding protein 69a	Obp69a
FBgn0011828	CG12002	3L	Peroxidasin	Pxn
FBgn0005586	CG7576	2R	Rab3	Rab3
FBgn0038966	CG13848	3R	prolonged depolarization afterpotential (PDA) is not apparent	pinta
FBgn0010770	CG5786	3R	peter pan	ppan
FBgn0003141	CG16784	2L	purple	pr
FBgn0263197	CG33130	2R	Patronin	Patronin
FBgn0003479	CG7948	3R	spindle A	spn-A
FBgn0004636	CG1956	3L	Rap1 GTPase	Rap1
FBgn0003941	CG2960	2L	Ribosomal protein L40	RpL40
FBgn0038585	CG7993	3R	Novel nucleolar protein 3	Non3
FBgn0004867	CG5920	2L	Ribosomal protein S2	RpS2
FBgn0026389	CG1854	2R	Odorant receptor 43a	Or43a
FBgn0036009	CG12526	3L	Odorant receptor 67a	Or67a
FBgn0034728	CG6339	2R	rad50	rad50
FBgn0020909	CG11130	X	Rtc1	Rtc1
FBgn0028426	CG3298	2R	Ribonuclease Z	RNaseZ
FBgn0032997	CG17486	2R	-	CG17486
FBgn0030653	CG7860	X	-	CG7860
FBgn0040736	CG16844	2R	Bomanin Short 3	BomS3
FBgn0036105	CG14149	3L	Biogenesis of lysosome-related organelles complex 1, subunit 4	Blos4
FBgn0040322	CG4144	3L	Gram-negative bacteria binding protein 2	GNBP2
FBgn0050169	CG30169	2R	BRCA2, DNA repair associated	Brca2
FBgn0033978	CG10242	2R	Cyp6a23	Cyp6a23
FBgn0039519	CG13977	3R	Cyp6a18	Cyp6a18
FBgn0263979	CG4236	3R	Chromatin assembly factor 1, p55 subunit	Caf1-55
FBgn0026136	CG8914	2R	Casein kinase II beta2 subunit	CkIIbeta2
FBgn0000504	CG11094	3R	doublesex	dsx
FBgn0032731	CG10641	2L	Swiprosin-1	Swip-1
FBgn0267330	CG5183	2L	KDEL receptor	KdelR
FBgn0015553	CG10387	2L	tosca	tos
FBgn0000635	CG3665	X	Fasciclin 2	Fas2
FBgn0265351	CG9620	3R	neuronally altered carbohydrate	nac
FBgn0030897	CG5744	X	Frequenin 1	Frq1
FBgn0001138	CG9656	3R	grain	grn
FBgn0013972	CG1912	3R	Guanylyl cyclase alpha-subunit at 99B	Gycalpha99B
FBgn0041229	CG13417	3R	Gustatory receptor 93a	Gr93a
FBgn0035870	CG7189	3L	Gustatory receptor 66a	Gr66a
FBgn0001123	CG2835	2R	G protein alpha s subunit	Galphas
FBgn0020415	CG4475	2L	Imaginal disc growth factor 2	Idgf2
FBgn0020414	CG4559	2L	Imaginal disc growth factor 3	Idgf3
FBgn0026415	CG1780	X	Imaginal disc growth factor 4	Idgf4
FBgn0064237	CG5154	2R	Imaginal disc growth factor 5	Idgf5
FBgn0011604	CG8625	2R	Imitation SWI	Iswi
FBgn0011770	CG2227	X	GIP-like	Gip
FBgn0027654	CG2239	3R	jdp	jdp
