#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	H_SAPIENS_ORTHOLOGS	LOCATION_ARM	M_MUSCULUS_ORTHOLOGS	NAME	SPECIES_ABBREVIATION	SYMBOL
FBgn0261602	FBgn0261602	CG1263	Hsap\MIR6850 <newline> Hsap\RPL8 <newline> Hsap\MRPL2	3L	Mmus\Rpl8 <newline> Mmus\Mrpl2	Ribosomal protein L8	Dmel	RpL8
FBgn0003941	FBgn0003941	CG2960	Hsap\UBA52 <newline> Hsap\RPS27A <newline> Hsap\UBC <newline> Hsap\NEDD8 <newline> Hsap\UBB <newline> Hsap\ISG15	2L	Mmus\Uba52 <newline> Mmus\Gm11808 <newline> Mmus\Uba52-ps <newline> Mmus\Ubb <newline> Mmus\LOC100042019 <newline> Mmus\Nedd8 <newline> Mmus\Gm4802 <newline> Mmus\Rps27a <newline> Mmus\Gm5239 <newline> Mmus\Isg15	Ribosomal protein L40	Dmel	RpL40
FBgn0015288	FBgn0015288	CG7434	Hsap\RPL22L1 <newline> Hsap\RPL22	X	Mmus\Rpl22l1 <newline> Mmus\Rpl22 <newline> Mmus\Gm9457	Ribosomal protein L22	Dmel	RpL22
FBgn0037328	FBgn0037328	CG2099	Hsap\RPL35A	3R	Mmus\Rpl35a <newline> Mmus\Gm10243 <newline> Mmus\Gm10247 <newline> Mmus\Gm10029	Ribosomal protein L35A	Dmel	RpL35A
FBgn0034822	FBgn0034822	CG9873	Hsap\KCNQ1 <newline> Hsap\KCND1 <newline> Hsap\KCNA7 <newline> Hsap\KCNA5 <newline> Hsap\KCNQ4 <newline> Hsap\KCNC1 <newline> Hsap\RPL37 <newline> Hsap\KCNA6 <newline> Hsap\KCNS2 <newline> Hsap\KCNF1 <newline> Hsap\KCNG3 <newline> Hsap\KCNS1 <newline> Hsap\KCNG4 <newline> Hsap\KCNG2 <newline> Hsap\KCND3 <newline> Hsap\KCNA4 <newline> Hsap\KCND2 <newline> Hsap\KCNQ5 <newline> Hsap\KCNQ2 <newline> Hsap\KCNA3 <newline> Hsap\KCNA10 <newline> Hsap\KCNC4 <newline> Hsap\KCNG1 <newline> Hsap\KCNB1 <newline> Hsap\KCNV2 <newline> Hsap\KCNA1 <newline> Hsap\KCNQ3 <newline> Hsap\KCNS3 <newline> Hsap\KCNB2 <newline> Hsap\KCNA2 <newline> Hsap\KCNC3 <newline> Hsap\KCNV1 <newline> Hsap\KCNC2	2R	Mmus\Kcnc4 <newline> Mmus\Kcnq1 <newline> Mmus\Kcnd1 <newline> Mmus\Kcnv1 <newline> Mmus\Kcnq4 <newline> Mmus\Kcna4 <newline> Mmus\Kcns1 <newline> Mmus\Kcna2 <newline> Mmus\Rpl37 <newline> Mmus\Kcna3 <newline> Mmus\Kcng3 <newline> Mmus\Kcnv2 <newline> Mmus\Kcna1 <newline> Mmus\Kcna5 <newline> Mmus\Kcng4 <newline> Mmus\Kcnb1 <newline> Mmus\Kcns3 <newline> Mmus\Kcnq3 <newline> Mmus\Kcns2 <newline> Mmus\Kcng2 <newline> Mmus\Kcnd2 <newline> Mmus\Kcna10 <newline> Mmus\Kcnc2 <newline> Mmus\Kcnd3 <newline> Mmus\Kcna7 <newline> Mmus\Kcnc3 <newline> Mmus\Kcng1 <newline> Mmus\Kcna6 <newline> Mmus\Kcnq5 <newline> Mmus\Kcnq2 <newline> Mmus\Kcnc1 <newline> Mmus\Kcnb2 <newline> Mmus\Kcnf1 <newline> Mmus\Rpl37rt	Ribosomal protein L37b	Dmel	RpL37b
FBgn0036825	FBgn0036825	CG6846	Hsap\RPL26 <newline> Hsap\RPL26L1 <newline> Hsap\MRPL24	3L	Mmus\Rpl26 <newline> Mmus\Mrpl24 <newline> Mmus\Gm10136	Ribosomal protein L26	Dmel	RpL26
FBgn0037686	FBgn0037686	CG9354	Hsap\RPL34	3R	Mmus\Rpl34 <newline> Mmus\Gm2178 <newline> Mmus\Gm4705 <newline> Mmus\Rpl34-ps1 <newline> Mmus\Rpl34-ps2 <newline> Mmus\Gm10154	Ribosomal protein L34b	Dmel	RpL34b
FBgn0035753	FBgn0035753	CG8615	Hsap\RPL18	3L	Mmus\Rpl18 <newline> Mmus\Gm29720	Ribosomal protein L18	Dmel	RpL18
FBgn0020910	FBgn0020910	CG4863	Hsap\RPL3 <newline> Hsap\RPL3L <newline> Hsap\MRPL3	3R	Mmus\Rpl3 <newline> Mmus\Rpl3l <newline> Mmus\Mrpl3	Ribosomal protein L3	Dmel	RpL3
FBgn0029785	FBgn0029785	CG4111	Hsap\RPL35	X	Mmus\Gm2000 <newline> Mmus\Rpl35 <newline> Mmus\Gm10269 <newline> Mmus\Gm8444	Ribosomal protein L35	Dmel	RpL35
