Checked,Protein FDR Confidence: Combined,Accession,Description,# Peptides,# PSMs,# Unique Peptides,Ensembl Gene ID,Gene Symbol,# Razor Peptides,Abundance Ratio: (PBS) / (NaCl),Abundance Ratio (log2): (PBS) / (NaCl),Abundance Ratio P-Value: (PBS) / (NaCl),Abundance Ratio Adj. P-Value: (PBS) / (NaCl),Abundance Ratio Variability [%]: (PBS) / (NaCl),Abundance Ratio Weight: (PBS) / (NaCl),Abundances (Grouped): NaCl,Abundances (Grouped): PBS,Abundances (Grouped) CV [%]: NaCl,Abundances (Grouped) CV [%]: PBS,Abundances (Grouped) Count: NaCl,Abundances (Grouped) Count: PBS,"Abundances (Scaled): F25: Sample, NaCl","Abundances (Scaled): F26: Sample, NaCl","Abundances (Scaled): F27: Sample, NaCl","Abundances (Scaled): F28: Sample, NaCl","Abundances (Scaled): F29: Sample, NaCl","Abundances (Scaled): F30: Sample, NaCl","Abundances (Scaled): F31: Sample, NaCl","Abundances (Scaled): F32: Sample, NaCl","Abundances (Scaled): F17: Sample, PBS","Abundances (Scaled): F18: Sample, PBS","Abundances (Scaled): F19: Sample, PBS","Abundances (Scaled): F20: Sample, PBS","Abundances (Scaled): F21: Sample, PBS","Abundances (Scaled): F22: Sample, PBS","Abundances (Scaled): F23: Sample, PBS","Abundances (Scaled): F24: Sample, PBS","Abundances (Normalized): F25: Sample, NaCl","Abundances (Normalized): F26: Sample, NaCl","Abundances (Normalized): F27: Sample, NaCl","Abundances (Normalized): F28: Sample, NaCl","Abundances (Normalized): F29: Sample, NaCl","Abundances (Normalized): F30: Sample, NaCl","Abundances (Normalized): F31: Sample, NaCl","Abundances (Normalized): F32: Sample, NaCl","Abundances (Normalized): F17: Sample, PBS","Abundances (Normalized): F18: Sample, PBS","Abundances (Normalized): F19: Sample, PBS","Abundances (Normalized): F20: Sample, PBS","Abundances (Normalized): F21: Sample, PBS","Abundances (Normalized): F22: Sample, PBS","Abundances (Normalized): F23: Sample, PBS","Abundances (Normalized): F24: Sample, PBS","Abundance: F25: Sample, NaCl","Abundance: F26: Sample, NaCl","Abundance: F27: Sample, NaCl","Abundance: F28: Sample, NaCl","Abundance: F29: Sample, NaCl","Abundance: F30: Sample, NaCl","Abundance: F31: Sample, NaCl","Abundance: F32: Sample, NaCl","Abundance: F17: Sample, PBS","Abundance: F18: Sample, PBS","Abundance: F19: Sample, PBS","Abundance: F20: Sample, PBS","Abundance: F21: Sample, PBS","Abundance: F22: Sample, PBS","Abundance: F23: Sample, PBS","Abundance: F24: Sample, PBS","Abundances Count: F25: Sample, NaCl","Abundances Count: F26: Sample, NaCl","Abundances Count: F27: Sample, NaCl","Abundances Count: F28: Sample, NaCl","Abundances Count: F29: Sample, NaCl","Abundances Count: F30: Sample, NaCl","Abundances Count: F31: Sample, NaCl","Abundances Count: F32: Sample, NaCl","Abundances Count: F17: Sample, PBS","Abundances Count: F18: Sample, PBS","Abundances Count: F19: Sample, PBS","Abundances Count: F20: Sample, PBS","Abundances Count: F21: Sample, PBS","Abundances Count: F22: Sample, PBS","Abundances Count: F23: Sample, PBS","Abundances Count: F24: Sample, PBS","Found in Sample: [S25] F25: Sample, NaCl","Found in Sample: [S26] F26: Sample, NaCl","Found in Sample: [S27] F27: Sample, NaCl","Found in Sample: [S28] F28: Sample, NaCl","Found in Sample: [S29] F29: Sample, NaCl","Found in Sample: [S30] F30: Sample, NaCl","Found in Sample: [S31] F31: Sample, NaCl","Found in Sample: [S32] F32: Sample, NaCl","Found in Sample: [S17] F17: Sample, PBS","Found in Sample: [S18] F18: Sample, PBS","Found in Sample: [S19] F19: Sample, PBS","Found in Sample: [S20] F20: Sample, PBS","Found in Sample: [S21] F21: Sample, PBS","Found in Sample: [S22] F22: Sample, PBS","Found in Sample: [S23] F23: Sample, PBS","Found in Sample: [S24] F24: Sample, PBS"
FALSE,High,M9PBJ1,"Zormin, isoform J OS=Drosophila melanogaster OX=7227 GN=zormin PE=1 SV=1",8,14,8,FBgn0052311,zormin,0,1.918,0.94,0.131685722,0.324291828,104.97,20.76214933,132.9,67.1,76.3,55.9,8,5,13.5,18.2,273.7,238.3,238.1,225.1,75.1,69,60.3,65.7,,117.3,41.5,164.2,,,186330.125,251613.6782,3785098.982,3296077.235,3293839.357,3114004.125,1039302.941,954826.3286,833677.854,908098.6235,,1622193.659,574126.2638,2270712.211,,,88800.01563,120407.2734,3540890.75,3161872.031,2863089.344,3114004.125,664645.5625,341730.1484,340947.0313,398930.3438,,797294.5625,323876.0625,1320239.195,,,1,1,6,5,6,6,4,3,1,1,,1,2,3,,,Peak Found,Peak Found,High,High,High,High,Peak Found,High,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found
FALSE,High,A0A0B4JD95,"Zipper, isoform H OS=Drosophila melanogaster OX=7227 GN=zip PE=1 SV=1",7,16,7,FBgn0265434,zip,0,0.517,-0.95,0.448054596,0.73476123,56.87,21.50412127,157.2,42.8,47.12,28.99,8,8,52.2,37.7,225.5,205.5,160.4,140.5,209.6,186.5,60,51.1,56.9,68.6,28.7,32.2,43.5,41.2,987581.2257,712574.3121,4266679.247,3889119.341,3034568.292,2658339.125,3965058.863,3529388.803,1135543.173,966484.2201,1076479.308,1297066.744,543261.705,610142.2149,823229.0635,778742.2276,470655.125,340995.4922,3991400.266,3730767.453,2637724.309,2658339.125,2535698.375,1263160.141,464400.0938,424579.3047,465352.8125,637497.4141,306464.75,354749.3438,316178.7734,322393.9707,3,2,6,6,6,5,5,5,2,3,2,4,1,1,3,3,High,Peak Found,High,High,Peak Found,High,High,High,High,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found
FALSE,High,Q9VAF0,Zinc transporter ZIP13 homolog OS=Drosophila melanogaster OX=7227 GN=Zip99C PE=2 SV=1,1,3,1,FBgn0039714,CG7816; Zip99C,0,0.01,-6.64,1E-17,7.64322E-17,,,200,,54.12,,3,,,,659.8,737.1,,203,,,,,,,,,,,,,207669.6871,231998.1714,,63898.55078,,,,,,,,,,,,,194271.1875,222551.9844,,63898.55078,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,Not Found,Not Found,High,High,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
FALSE,High,P41073,Zinc finger protein on ecdysone puffs OS=Drosophila melanogaster OX=7227 GN=Pep PE=1 SV=1,2,3,2,FBgn0004401,Pep,0,0.01,-6.64,1E-17,7.64322E-17,,,200,,66.91,,3,,121.5,,726.7,751.8,,,,,,,,,,,,,32957.81742,,197123.2987,203932.9009,,,,,,,,,,,,,15706.8252,,184405.2344,195629.4375,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,Peak Found,Not Found,High,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
FALSE,Medium,Q7JWR9,Zinc finger CCCH domain-containing protein 15 homolog OS=Drosophila melanogaster OX=7227 GN=CG8635 PE=1 SV=1,1,1,1,FBgn0033317,CG8635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
FALSE,High,Q9V3H9,Zinc finger CCCH domain-containing protein 14 OS=Drosophila melanogaster OX=7227 GN=Nab2 PE=1 SV=1,1,6,1,FBgn0028471,CG5720; Nab2,0,1.418,0.5,0.404296521,0.704392907,18.12,23.30242302,79.8,120.2,13.24,11.63,8,6,118.7,96,116.7,90.4,99,84,86.6,94.1,112.9,118.7,145.4,140.9,,,147.7,148.9,9590256.669,7756542.883,9430439.098,7302439.323,7999163.115,6784836.5,6997891.634,7606326.438,9123563.67,9587286.264,11745694.66,11384338.94,,,11930237.45,12026210.21,4570463,3711818,8822003,7005108.5,6953077,6784836.5,4475228,2722286.75,3731239.75,4211722.5,5077563.5,5595307,,,4582063.5,4978769,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,High,High,Peak Found,Peak Found,High,Peak Found,Not Found,Not Found,High,High
FALSE,High,G3JX30,"Z band alternatively spliced PDZ-motif protein 52, isoform U OS=Drosophila melanogaster OX=7227 GN=Zasp52 PE=1 SV=1",7,25,7,FBgn0265991,Zasp52,0,0.254,-1.98,0.050587829,0.151913304,111.01,21.18389854,185.9,14.1,92.28,15.43,8,2,9.4,8.7,476.5,455.9,190.7,215.3,98.6,121.6,,10.4,,12.9,,,,,207204.2296,192905.7937,10547588.11,10091958.12,4221260.327,4766513.188,2182756.166,2692654.071,,229725.7927,,286005.4581,,,,,98748.0625,92313.1875,9867075.438,9681047.453,3669227.352,4766513.188,1395896.367,963694.7031,,100919.2031,,140569.2813,,,,,1,1,7,7,6,6,4,5,,1,,1,,,,,Peak Found,Peak Found,High,High,High,High,High,High,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found
FALSE,Low,X2JB25,"Yolk protein 2, isoform B OS=Drosophila melanogaster OX=7227 GN=Yp2 PE=1 SV=1",1,1,1,FBgn0005391,Yp2,0,3.223,1.69,0.051590828,0.154298502,82.33,15.79992963,42.1,157.9,37.31,58.27,7,8,39.8,54.5,82.4,58.1,39.8,34.2,30.3,,266.7,278.9,97.3,115.5,208.3,193.7,44,56.4,20140.87169,27544.74148,41636.87235,29365.31937,20131.9923,17282.77148,15331.99585,,134816.4587,140947.1563,49198.59573,58357.22866,105305.9905,97902.12043,22257.10995,28488.79306,9598.607422,13181.26758,38950.53125,28169.66211,17499.24219,17282.77148,9804.978516,,55135.53125,61918.49219,21268.13281,28682.08789,59405.20703,56922.32422,8548.320313,11794.16602,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found
FALSE,High,A0A0B4LHN5,"Yellow-emperor, isoform C OS=Drosophila melanogaster OX=7227 GN=ymp PE=4 SV=1",7,93,2,FBgn0261287,ymp,0,2.988,1.58,0.018590651,0.064484332,119.69,21.55232858,100.3,99.7,53.07,70.88,8,8,60.5,70.7,201.9,152.5,71.1,78.3,58.7,85.9,214.4,215,51.4,56.7,45.3,41,99.6,97,2303081.316,2690762.308,7686225.89,5803236.699,2705856.004,2982101.125,2233699.602,3269011.24,8160739.316,8183561.554,1955157.751,2158033.878,1722683.968,1562350.18,3789114.72,3692460.79,1097587.719,1287638.078,7190323.5,5566948.375,2351999.188,2982101.125,1428475.25,1169971.609,3337476.016,3595062.188,845198,1060655.531,971800.3438,908382.8125,1455290.754,1528653.582,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,High,High,High,High,High,Peak Found,High,High,High,High,High,High,Peak Found,Peak Found,High,High
FALSE,High,Q8IMS7,"Yellow-emperor, isoform B OS=Drosophila melanogaster OX=7227 GN=ymp PE=4 SV=1",6,50,4,FBgn0261287,ymp,0,1.265,0.34,0.431138134,0.725613583,16.75,26.14155689,82.9,117.1,8.15,9.24,8,8,73.9,78.5,79.5,86.8,91.5,91.5,76.5,81.8,112.2,113.2,117.2,114.6,106.3,110.5,125.3,140.6,48061216,51107909.53,51741045.38,56474712.78,59555950.48,59554045.25,49800473.83,53224259.09,73017551.48,73691089.55,76285115.91,74568431.37,69173896.03,71881235.95,81520811.19,91502962.97,22904706,24457192,48402800,54175252,51767554.13,59554045.25,31847946,19048840,29861795.28,32372708.13,32977404.19,36649757.91,39022372.75,41793242.06,31309815.5,37881602.56,1,1,1,1,4,4,1,1,4,4,3,3,2,2,4,4,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
