##Dmel_gene_ID,Dmel_gene_symbol,Human_gene_HGNC_ID,Human_gene_OMIM_ID,Human_gene_symbol,DIOPT_score,OMIM_Phenotype_IDs,OMIM_Phenotype_IDs[name]
FBgn0031081,Nep3,HGNC:8918,OMIM:300550,PHEX,3,307800,"307800[HYPOPHOSPHATEMIC RICKETS, X-LINKED DOMINANT; XLHR]"
FBgn0031081,Nep3,HGNC:14668,OMIM:618104,MMEL1,6,,
FBgn0031081,Nep3,HGNC:7154,OMIM:120520,MME,6,"617,017,617,018","617017[CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2T; CMT2T],617018[SPINOCEREBELLAR ATAXIA 43; SCA43]"
FBgn0031081,Nep3,HGNC:13275,OMIM:610145,ECE2,11,,
FBgn0031081,Nep3,HGNC:3147,OMIM:605896,ECEL1,4,615065,"615065[ARTHROGRYPOSIS, DISTAL, TYPE 5D; DA5D]"
FBgn0031081,Nep3,HGNC:3146,OMIM:600423,ECE1,14,"145,500,613,870","145500[HYPERTENSION, ESSENTIAL],613870[HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, AND AUTONOMIC DYSFUNCTION; HCAD]"
FBgn0031081,Nep3,HGNC:6308,OMIM:613883,KEL,4,110900,110900[BLOOD GROUP--KELL SYSTEM; KEL]
FBgn0031081,Nep3,HGNC:53615,,EEF1AKMT4-ECE2,5,,
FBgn0024733,RpL10,HGNC:10298,OMIM:312173,RPL10,11,"300,847,300,998","300847[AUTISM, SUSCEPTIBILITY TO, X-LINKED 5; AUTSX5],300998[MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35; MRXS35]"
FBgn0024733,RpL10,HGNC:17976,,RPL10L,12,,
FBgn0040372,G9a,HGNC:14129,OMIM:604599,EHMT2,11,,
FBgn0040372,G9a,HGNC:24650,OMIM:607001,EHMT1,11,610253,610253[KLEEFSTRA SYNDROME 1; KLEFS1]
FBgn0040372,G9a,HGNC:11479,OMIM:300254,SUV39H1,3,,
FBgn0040372,G9a,HGNC:17287,OMIM:606503,SUV39H2,4,,
FBgn0023537,CG17896,HGNC:7179,OMIM:603178,ALDH6A1,13,614105,614105[METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY; MMSDHD]
FBgn0010019,Cyp4g1,HGNC:23198,OMIM:608614,CYP4V2,5,210370,210370[BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY; BCD]
FBgn0010019,Cyp4g1,HGNC:2594,OMIM:107910,CYP19A1,3,"139,300,613,546","139300[AROMATASE EXCESS SYNDROME; AEXS],613546[AROMATASE DEFICIENCY]"
