#SUBMITTED ID	H_SAPIENS_ORTHOLOGS
FBgn0001281	Hsap\PHPT1
FBgn0029501	Hsap\HYDIN
FBgn0031240	Hsap\FSIP2
FBgn0031347	Hsap\C16orf96 <newline> Hsap\QRICH2
FBgn0031451	Hsap\PGK2 <newline> Hsap\PGK1
FBgn0033794	Hsap\RSPH14 <newline> Hsap\ARMC3 <newline> Hsap\ARMC4 <newline> Hsap\CTNND2 <newline> Hsap\CTNNB1 <newline> Hsap\ARVCF <newline> Hsap\PKP4 <newline> Hsap\JUP
FBgn0033863	Hsap\CALD1
FBgn0034566	Hsap\DNAI1 <newline> Hsap\WDR63 <newline> Hsap\DYNC1I1 <newline> Hsap\WDR34 <newline> Hsap\DYNC1I2 <newline> Hsap\WDR60 <newline> Hsap\DNAI2 <newline> Hsap\WDR78
FBgn0035032	Hsap\ATP5MF <newline> Hsap\C17orf80 <newline> Hsap\PTCD1
FBgn0035273	Hsap\DNAJB13 <newline> Hsap\DNAJB9 <newline> Hsap\DNAJB1 <newline> Hsap\DNAJB6 <newline> Hsap\DNAJA3 <newline> Hsap\DNAJC10 <newline> Hsap\DNAJC5B <newline> Hsap\DNAJC5G <newline> Hsap\DNAJC18 <newline> Hsap\DNAJB7 <newline> Hsap\DNAJA2 <newline> Hsap\DNAJC25 <newline> Hsap\DNAJB2 <newline> Hsap\DNAJB12 <newline> Hsap\DNAJC5 <newline> Hsap\DNAJB4 <newline> Hsap\DNAJC25-GNG10 <newline> Hsap\DNAJC16 <newline> Hsap\DNAJC11 <newline> Hsap\DNAJA1 <newline> Hsap\DNAJC21 <newline> Hsap\DNAJA4 <newline> Hsap\DNAJB5 <newline> Hsap\DNAJB14 <newline> Hsap\DNAJC7 <newline> Hsap\DNAJB11 <newline> Hsap\DNAJB8 <newline> Hsap\DNAJC24 <newline> Hsap\DNAJC22 <newline> Hsap\DNAJC3
FBgn0037579	Hsap\COX7A2L <newline> Hsap\COX7A1 <newline> Hsap\COX7A2 <newline> Hsap\COX7A2P2
FBgn0037995	Hsap\ADK <newline> Hsap\RBKS
FBgn0038224	Hsap\ATP5ME
FBgn0038697	-
FBgn0038762	
FBgn0040371	Hsap\NKX2-8 <newline> Hsap\FOS
FBgn0040963	Hsap\PHPT1
FBgn0041102	Hsap\PHPT1
FBgn0050362	-
FBgn0050459	
FBgn0051415	-
FBgn0051542	-
FBgn0013812	Hsap\DNAH9 <newline> Hsap\DNHD1 <newline> Hsap\DNAH3 <newline> Hsap\DNAH5 <newline> Hsap\DNAH7 <newline> Hsap\DNAH12 <newline> Hsap\DNAH8 <newline> Hsap\DYNC1H1 <newline> Hsap\DNAH6 <newline> Hsap\DNAH17 <newline> Hsap\DYNC2H1 <newline> Hsap\DNAH10 <newline> Hsap\DNAH1 <newline> Hsap\DNAH2 <newline> Hsap\DNAH11 <newline> Hsap\NLRP3 <newline> Hsap\DNAH14 <newline> Hsap\VANGL1
FBgn0016920	Hsap\TRPC5 <newline> Hsap\TRPC6 <newline> Hsap\TRPC3 <newline> Hsap\TRPC4 <newline> Hsap\TRPC1 <newline> Hsap\TRPC7 <newline> Hsap\HACE1 <newline> Hsap\ANK1 <newline> Hsap\ANK3 <newline> Hsap\ANKRD44 <newline> Hsap\TNKS <newline> Hsap\ANKDD1A <newline> Hsap\ASB7 <newline> Hsap\PIDD1 <newline> Hsap\ANK2 <newline> Hsap\ANKRD53 <newline> Hsap\RNASEL <newline> Hsap\TNKS2 <newline> Hsap\ANKEF1 <newline> Hsap\ANKLE1 <newline> Hsap\ANKRD61 <newline> Hsap\ANKRD60 <newline> Hsap\ANKAR <newline> Hsap\ANKRD65 <newline> Hsap\ANKDD1B <newline> Hsap\ANKRD28 <newline> Hsap\ANKRD52 <newline> Hsap\ANKRD17 <newline> Hsap\ANKRD55 <newline> Hsap\ANKHD1-EIF4EBP3 <newline> Hsap\ANKRD42 <newline> Hsap\ANKFY1 <newline> Hsap\FPGT <newline> Hsap\FPGT-TNNI3K <newline> Hsap\ASB14 <newline> Hsap\PSMD10 <newline> Hsap\INVS
FBgn0019644	Hsap\ATP5PB <newline> Hsap\KCNK3
FBgn0029859	-
FBgn0030359	Hsap\NME8 <newline> Hsap\TXN2 <newline> Hsap\PDIA2 <newline> Hsap\TMX4 <newline> Hsap\ERP44 <newline> Hsap\DNAJC10 <newline> Hsap\TXNDC9 <newline> Hsap\ERP27 <newline> Hsap\TXNDC16 <newline> Hsap\TXNDC11 <newline> Hsap\PDIA4 <newline> Hsap\TMX3 <newline> Hsap\PDIA3 <newline> Hsap\TXNDC2 <newline> Hsap\PDILT <newline> Hsap\PDIA5 <newline> Hsap\P4HB <newline> Hsap\TXNDC8 <newline> Hsap\TXN <newline> Hsap\TXNDC5 <newline> Hsap\NME9 <newline> Hsap\PDIA6 <newline> Hsap\TMX1 <newline> Hsap\TXNL1
FBgn0031462	Hsap\PKLR <newline> Hsap\PKM
FBgn0032291	Hsap\CFAP20 <newline> Hsap\WDR90 <newline> Hsap\C3orf67
FBgn0033610	Hsap\FAM166A <newline> Hsap\FAM166B
FBgn0033735	Hsap\DERA
FBgn0035638	Hsap\TEKT1 <newline> Hsap\TEKT2 <newline> Hsap\TEKT5 <newline> Hsap\TEKT4 <newline> Hsap\TEKT3
FBgn0036162	Hsap\FH
FBgn0036490	Hsap\PRDX1 <newline> Hsap\PRDX3 <newline> Hsap\PRDX2 <newline> Hsap\PRDX6 <newline> Hsap\PRDX4
FBgn0037138	Hsap\ALDH4A1 <newline> Hsap\ALDH1A2 <newline> Hsap\ALDH3B2 <newline> Hsap\ALDH1L2 <newline> Hsap\ALDH2 <newline> Hsap\ALDH8A1 <newline> Hsap\ALDH1L1 <newline> Hsap\ALDH16A1 <newline> Hsap\ALDH1A1 <newline> Hsap\ALDH5A1 <newline> Hsap\ALDH1A3 <newline> Hsap\ALDH3A2 <newline> Hsap\ALDH9A1 <newline> Hsap\ALDH1B1 <newline> Hsap\ALDH7A1 <newline> Hsap\ALDH3A1 <newline> Hsap\ALDH3B1
FBgn0037759	Hsap\ASPG
FBgn0038266	-
FBgn0038598	Hsap\SAXO1 <newline> Hsap\SAXO2
FBgn0039737	-
